index,I_float,Q_float
0,-0.92041,-0.390625
1,-0.392578,-0.930664
2,0.389893,-0.932129
3,0.388428,-0.933105
4,0.375732,-0.927734
5,-0.924316,0.38208
6,-0.390137,0.927246
7,0.376221,0.918457
8,-0.925293,0.36792
9,-0.384521,-0.938965
10,0.374268,0.924316
11,0.921387,-0.370605
12,-0.918457,-0.385254
13,-0.367432,-0.930176
14,0.915039,-0.39917
15,-0.383545,0.918945
16,0.727051,0.209229
17,-0.92334,0.390869
18,-0.938965,-0.390625
19,0.930176,0.387695
20,0.932617,-0.373779
21,-0.376465,-0.921875
22,0.378906,0.925293
23,-0.383057,-0.924805
24,0.913086,-0.38501
25,0.384766,-0.919922
26,0.391357,-0.915039
27,-0.38623,0.91748
28,-0.387451,0.927734
29,0.920898,0.369141
30,-0.368408,0.913574
31,-0.922852,-0.375732
32,-0.390381,-0.933594
33,-0.930664,-0.378418
34,0.38916,0.920898
35,0.935059,0.385498
36,0.927246,-0.383057
37,-0.369141,-0.92627
38,0.376953,-0.928711
39,0.382812,0.918457
40,-0.372314,0.90918
41,-0.375,-0.919922
42,0.38916,0.918945
43,-0.914551,0.385742
44,0.919922,-0.372559
45,0.364258,0.922852
46,0.410156,0.930664
47,-0.924316,0.368408
48,-1.046875,0.327148
49,-0.382324,-0.916992
50,-0.388672,0.92334
51,0.924805,-0.369629
52,0.936035,-0.380615
53,0.39209,0.929688
54,-0.942871,-0.384277
55,0.929688,0.377441
56,-0.386719,0.935059
57,0.916504,-0.395752
58,0.925293,-0.363281
59,0.916992,0.37915
60,0.370361,-0.925781
61,0.392822,0.929199
62,0.915039,-0.395508
63,0.912109,0.384521
64,-0.92627,-0.389404
65,0.384033,-0.930664
66,-0.378906,0.919434
67,-0.934082,-0.389648
68,-0.389893,-0.927246
69,-0.932129,-0.390625
70,0.922363,0.385254
71,-0.925293,-0.374023
72,0.909668,-0.381592
73,0.929199,-0.381592
74,0.911621,-0.373779
75,0.916504,-0.373779
76,-0.389893,0.9375
77,0.92334,-0.383057
78,0.925781,-0.380127
79,0.916504,0.379883
80,-1.058594,0.323975
81,0.92041,-0.380859
82,0.389404,-0.925781
83,-0.380127,-0.916992
84,-0.930664,-0.37915
85,0.380859,0.923828
86,0.379883,0.924316
87,-0.383057,0.928711
88,-0.921875,0.382568
89,-0.919922,0.386475
90,-0.381592,0.907715
91,0.373535,-0.928223
92,0.928223,-0.368164
93,0.930664,0.383057
94,-0.375488,-0.922363
95,-0.388428,0.925293
96,-0.385254,-0.931152
97,0.918945,0.388672
98,0.915039,0.36792
99,-0.362793,-0.933594
100,-0.393311,-0.918457
101,0.371338,-0.94043
102,-0.375,-0.925781
103,-0.397705,-0.92041
104,0.376465,0.911133
105,-0.393799,0.935059
106,0.914551,0.379883
107,0.387451,0.924316
108,0.92041,0.383057
109,-0.933594,0.366699
110,-0.932129,0.377686
111,0.928223,0.384766
112,-0.443604,-1.033203
113,-0.387939,0.925781
114,-0.384277,-0.916016
115,-0.936523,0.389404
116,-0.935059,-0.375732
117,-0.908203,0.392578
118,-0.946777,0.392822
119,0.916504,0.379395
120,-0.385254,-0.929199
121,0.378906,-0.916016
122,-0.36792,-0.932617
123,-0.373779,-0.924805
124,-0.937012,0.377441
125,0.397949,0.908691
126,0.382324,0.912109
127,0.92334,0.387939
128,0.381836,0.915039
129,0.917969,0.369629
130,-0.937012,0.366211
131,0.367188,0.930176
132,0.373535,-0.927734
133,0.380371,-0.938477
134,-0.924316,0.372314
135,0.927246,0.387451
136,0.38501,-0.918457
137,-0.935547,-0.393066
138,-0.921387,0.374023
139,-0.377441,-0.925781
140,-0.913086,-0.389893
141,0.94043,-0.377197
142,0.387207,0.924316
143,-0.381836,0.916992
144,-1.056641,0.350098
145,-0.932617,-0.37793
146,0.921387,-0.406494
147,0.922363,-0.384277
148,0.38916,-0.916016
149,-0.92334,-0.361084
150,-0.930664,-0.397949
151,0.390869,-0.921875
152,-0.389893,0.920898
153,-0.914551,0.397949
154,-0.928711,0.381592
155,-0.922852,-0.390137
156,-0.945312,0.375977
157,-0.374756,-0.910156
158,0.380127,0.918457
159,0.384277,-0.939941
160,-0.921387,-0.366455
161,0.919434,-0.385498
162,-0.388672,0.916016
163,-0.94043,0.383545
164,-0.932617,-0.380127
165,0.395752,-0.917969
166,0.387451,0.911621
167,-0.929199,-0.380859
168,0.378418,0.925781
169,-0.932129,-0.391602
170,-0.377197,0.929688
171,-0.388916,-0.927734
172,-0.364258,-0.924805
173,0.378418,-0.916992
174,0.916504,0.364746
175,-0.374512,-0.932617
176,-0.458496,-1.022461
177,-0.397949,-0.930176
178,0.925781,0.381836
179,0.383789,0.930176
180,-0.9375,-0.38501
181,0.911133,0.388672
182,-0.384277,0.934082
183,0.371338,-0.929199
184,0.91748,0.39917
185,-0.396729,-0.935059
186,-0.93457,0.384766
187,0.374023,-0.918457
188,0.388428,0.933594
189,0.910645,-0.388428
190,0.37793,0.908203
191,0.377441,-0.942871
192,-0.913086,-0.378418
193,-0.92041,-0.391846
194,0.907715,0.388428
195,-0.922852,-0.379395
196,-0.386719,-0.92041
197,0.918457,0.389893
198,0.922363,0.382568
199,-0.937012,-0.376953
200,-0.378662,-0.936523
201,-0.375244,0.919922
202,0.90625,0.385498
203,0.927734,-0.389893
204,0.381348,-0.922363
205,-0.927734,-0.391602
206,0.39917,0.915039
207,-0.929688,-0.399658
208,-0.980469,0.35498
209,0.924316,0.373291
210,0.92627,-0.387207
211,0.924316,-0.36792
212,0.932129,-0.384033
