index,I_float,Q_float
0,-0.92041,-0.390625
1,-0.390381,-0.933594
2,-0.92627,-0.389404
3,-0.385254,-0.931152
4,0.381836,0.915039
5,-0.921387,-0.366455
6,-0.913086,-0.378418
7,-0.398926,-0.928223
8,0.382812,0.918457
9,-0.387695,0.918945
10,0.391113,-0.929688
11,0.397949,-0.925293
12,-0.930176,0.386963
13,-0.941406,-0.388672
14,0.394531,-0.911133
15,-0.394531,0.909668
16,-0.922852,-0.377441
17,-0.382568,0.930664
18,-0.924805,-0.377197
19,-0.392334,-0.924805
20,0.375977,0.932617
21,-0.919434,-0.378418
22,0.900391,0.377441
23,0.379883,-0.918945
24,-0.382568,-0.922363
25,0.370605,-0.927246
26,-0.361572,0.918945
27,-0.924316,-0.380127
28,0.92041,-0.388916
29,-0.919922,-0.381836
30,0.386963,0.932617
31,-0.397705,-0.937012
32,-0.918457,0.383301
33,-0.930176,-0.380127
34,-0.926758,-0.379639
35,0.385498,-0.929199
36,-0.383057,0.929199
37,0.385986,-0.937988
38,0.940918,0.384033
39,0.917969,0.37915
40,0.393799,0.916992
41,-0.377686,0.918945
42,0.385986,0.921875
43,-0.918457,0.39624
44,0.923828,-0.396973
45,-0.374756,0.925781
46,-0.374512,0.935059
47,-0.936523,-0.37207
48,-0.924805,-0.376709
49,0.926758,0.382324
50,0.935059,0.380127
51,-0.392578,-0.930664
52,-0.930664,-0.378418
53,0.384033,-0.930664
54,0.918945,0.388672
55,0.917969,0.369629
56,0.919434,-0.385498
57,-0.92041,-0.391846
58,-0.383301,0.928711
59,0.388428,-0.929688
60,-0.391602,-0.933105
61,-0.379395,-0.930664
62,-0.375244,-0.92627
63,-0.380615,-0.924805
64,0.932129,-0.383789
65,0.39209,-0.920898
66,0.371826,0.921875
67,-0.929688,-0.384766
68,0.924316,-0.381836
69,-0.386475,0.922363
70,0.924805,0.391846
71,-0.396973,-0.919922
72,0.399414,0.932129
73,-0.923828,0.376709
74,-0.388184,-0.925781
75,0.925293,-0.38916
76,0.919434,-0.374268
77,0.374023,-0.928711
78,-0.385742,0.931641
79,0.929688,0.382324
80,0.919434,0.375488
81,0.919922,-0.38501
82,-0.382568,-0.912109
83,0.915527,-0.367188
84,-0.931641,-0.391357
85,0.928223,0.384033
86,0.917969,0.378174
87,-0.393799,0.930176
88,0.38208,-0.920898
89,-0.376465,0.930176
90,0.917969,-0.385254
91,-0.920898,-0.373535
92,0.929688,0.390869
93,-0.91748,0.376709
94,-0.930176,0.376221
95,0.931152,-0.381836
96,-0.924805,-0.38916
97,-0.387451,0.922363
98,-0.375488,-0.931641
99,-0.925781,-0.378906
100,-0.388184,-0.923828
101,0.373779,-0.929688
102,0.389893,-0.932129
103,0.38916,0.920898
104,-0.378906,0.919434
105,0.915039,0.36792
106,-0.937012,0.366211
107,-0.388672,0.916016
108,0.907715,0.388428
109,0.387451,0.916504
110,-0.92041,-0.388184
111,-0.383057,-0.908691
112,-0.9375,0.361572
113,0.898438,0.381592
114,-0.918457,0.376953
115,-0.910645,0.371338
116,-0.921875,0.38208
117,-0.914062,-0.373047
118,0.914551,-0.385742
119,-0.911133,-0.392578
120,0.908203,0.370117
121,0.384521,-0.916992
122,0.922852,0.389648
123,0.371338,0.92041
124,-0.922852,0.37915
125,0.374512,0.916992
126,0.380615,0.923828
127,0.392578,-0.925781
128,-0.372559,-0.92041
129,0.92334,-0.371338
130,0.378906,-0.911133
131,0.921387,-0.381348
132,-0.378662,-0.927246
133,-0.37793,-0.922852
134,-0.92627,0.371094
135,0.383789,0.913574
136,0.912109,0.380615
137,0.374756,0.918945
138,-0.922852,-0.37915
139,-0.916504,-0.379395
140,0.916992,0.381592
141,-0.383545,-0.94043
142,-0.386475,0.927734
143,0.946289,-0.38916
144,0.922852,-0.391846
145,-0.39209,0.917969
146,0.921875,-0.387695
147,0.388428,0.92627
148,0.930664,-0.381104
149,0.370605,-0.925293
150,0.919434,-0.384033
151,0.379639,0.916504
152,0.921875,-0.393066
153,0.388428,-0.933105
154,0.935059,0.385498
155,-0.934082,-0.389648
156,-0.362793,-0.933594
157,0.367188,0.930176
158,-0.94043,0.383545
159,-0.922852,-0.379395
160,-0.924316,-0.38208
161,0.924805,0.395996
162,-0.93457,0.373291
163,0.381104,0.935059
164,-0.386963,0.918457
165,-0.38916,-0.929688
166,-0.380371,0.925781
167,0.388184,-0.925293
168,0.919434,-0.358887
169,0.920898,0.385742
170,-0.931152,-0.39624
171,0.393066,-0.91748
172,-0.905762,-0.382568
173,0.924316,0.402832
174,0.372559,0.929688
175,0.383545,0.932129
176,0.916992,0.38916
177,0.935547,0.400391
178,-0.380371,0.915039
179,0.907715,-0.381592
180,0.928711,-0.387939
181,-0.931152,-0.368896
182,-0.389893,-0.898926
183,-0.916504,-0.372803
184,-0.375488,0.918945
185,-0.389893,-0.919434
186,-0.927246,-0.38501
187,-0.385986,0.915039
188,0.933594,0.384277
189,0.376465,0.918945
190,0.384033,0.92041
191,0.915527,-0.379639
192,0.927246,0.394775
193,-0.92627,-0.378174
194,0.928711,0.388916
195,-0.918457,0.376465
196,0.92627,0.379639
197,0.929688,-0.371582
198,-0.932129,-0.38208
199,-0.925293,0.373047
200,0.380371,-0.921875
201,-0.928711,0.385742
202,0.914551,-0.382812
203,-0.374023,0.938965
204,0.375732,-0.927734
205,0.927246,-0.383057
206,-0.389893,-0.927246
207,-0.393311,-0.918457
208,0.373535,-0.927734
209,-0.932617,-0.380127
210,-0.386719,-0.92041
211,-0.918457,-0.376221
212,0.924316,-0.386719
213,0.912109,-0.386963
214,0.916504,-0.392334
215,0.918457,-0.393799
216,0.922363,0.378174
217,-0.394043,-0.927246
218,0.369629,-0.933594
219,-0.377197,-0.930176
220,-0.936523,-0.39502
221,-0.91748,-0.369629
222,-0.922363,-0.37793
223,-0.929199,-0.376709
224,-0.377197,0.920898
225,0.92041,-0.377197
226,0.384766,0.930664
227,-0.924805,0.379395
228,-0.931152,0.390137
229,0.387695,0.921387
230,-0.388184,0.936523
231,-0.928223,0.373779
232,0.931152,0.383789
233,0.379883,0.927734
234,0.931152,-0.388672
235,0.927246,-0.388184
236,-0.935547,-0.375732
237,0.930664,-0.392334
238,0.387695,-0.9375
239,0.370605,-0.921875
240,-0.378906,0.933594
241,0.935059,-0.398193
242,0.91748,0.372803
243,0.934082,0.374268
244,-0.938477,-0.391357
245,-0.931641,0.376953
246,-0.384033,-0.929199
247,-0.919922,0.381836
248,-0.927246,-0.390625
249,0.377686,0.922363
250,-0.390869,0.927246
251,0.926758,0.372559
252,-0.383789,0.921387
253,0.928711,0.387695
254,-0.381104,-0.919922
255,-0.924316,0.38208
256,-0.369141,-0.92627
257,-0.932129,-0.390625
258,0.371338,-0.94043
259,0.380371,-0.938477
260,0.395752,-0.917969
261,0.918457,0.389893
262,0.373779,0.918945
263,-0.933105,0.382324
264,-0.927734,0.383301
265,-0.936035,0.375488
266,-0.391602,0.92334
267,0.931641,0.393555
268,0.932129,0.387939
269,0.394287,-0.930664
270,0.385986,0.94043
271,0.374268,0.924316
272,0.374268,0.924805
273,-0.378662,-0.915527
274,-0.916016,-0.370361
275,0.389404,0.924805
276,0.917969,-0.381348
277,0.918945,-0.393066
278,0.375732,-0.922363
279,0.925293,-0.390625
280,-0.917969,0.389648
281,0.377197,0.923828
282,0.911133,-0.390869
283,0.386719,0.915039
284,-0.377441,0.915527
285,-0.916504,0.38501
286,-0.394531,0.916016
287,0.371094,0.920898
288,0.379395,-0.92041
289,-0.394043,0.924805
290,-0.929199,0.366455
291,-0.931152,0.379883
292,-0.930664,0.379395
293,-0.368896,-0.924805
294,-0.391357,0.93457
295,-0.922852,0.387695
296,0.922363,0.398682
297,0.922363,0.392334
298,-0.377686,-0.940918
299,0.388428,-0.91748
300,-0.384277,-0.922363
301,0.926758,-0.395752
302,-0.387451,0.929199
303,-0.381104,0.910645
304,-0.381348,0.931152
305,0.923828,-0.378418
306,-0.390137,0.927246
307,0.376953,-0.928711
308,0.922363,0.385254
309,-0.375,-0.925781
310,-0.924316,0.372314
311,0.387451,0.911621
312,0.922363,0.382568
313,0.924316,-0.393799
314,0.92041,-0.381104
315,0.386719,0.913086
316,-0.925781,-0.384033
317,-0.927734,0.376709
318,-0.91748,-0.386963
319,0.381836,0.933594
320,-0.92334,0.378174
321,-0.92334,-0.390137
322,0.377441,0.928223
323,-0.376953,0.907715
324,-0.929199,0.383545
325,0.922852,0.386475
326,0.383057,0.915527
327,-0.918457,0.377197
328,-0.927734,0.372559
329,-0.921875,-0.377441
330,-0.379395,-0.929199
331,-0.380615,-0.938477
332,0.933105,-0.379395
333,0.924805,-0.380615
334,-0.383545,0.927246
335,0.932129,-0.388428
336,-0.939453,0.384277
337,-0.378418,0.921387
338,0.382568,-0.935547
339,0.390625,0.928711
340,0.370117,0.914062
341,0.918945,-0.390137
342,-0.371582,0.918457
343,-0.372314,0.935059
344,0.910645,0.381592
345,-0.92627,0.375977
346,0.389893,0.917969
347,-0.383301,0.915527
348,-0.918457,0.383301
349,0.379395,-0.929199
350,0.38916,0.923828
351,0.379639,-0.928223
352,-0.386963,-0.914062
353,-0.385986,-0.90625
354,-0.927246,0.395752
355,-0.922363,-0.377441
356,-0.386719,-0.916504
357,0.376221,0.918457
358,0.382812,0.918457
359,-0.925293,-0.374023
360,-0.397705,-0.92041
361,0.927246,0.387451
362,-0.929199,-0.380859
363,-0.937012,-0.376953
364,-0.376709,0.931641
365,0.935547,-0.386475
366,0.933594,-0.390869
367,-0.368896,0.936523
368,0.927246,0.366943
369,-0.383545,-0.933594
370,0.386963,0.922363
371,-0.931152,0.390137
372,-0.924805,0.378174
373,-0.923828,0.396729
374,0.38501,-0.904297
